Community plan,Summary,Council person,Staff recommendation,School district representative,Proposed zoning type id,Community character policy id,Existing zoning type id,Map id,Pdf link,Request type,School district,ID,Date,Requested by,Community character policy,Parcel id,Document number,Applicant,Council district,Staff recommendation description,Project name,Number of acres,Number of units proposed,Number of units currently,Location description,Addresses
Donelson-Hermitage-Old Hickory Community Plan,"The Donelson Transit-Oriented Redevelopment Plan proposes establishing a Transit Oriented Redevelopment District along Lebanon Pike, enhancing infrastructure and transportation networks to improve pedestrian, bicycle, and vehicular connectivity.",Syracuse,Approve,Shepherd,"[""TOD""]","[""T4 CC""]","[""RS10"",""RS20"",""R10"",""OR20"",""CL"",""CS"",""SP-A""]","[""094-15"",""095-03"",""095-03-0-A""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/180426sr.pdf_item_9.pdf,Major Plan Amendment,4,Donelson Transit-Oriented Redevelopment Plan_2018-04-26,2018-04-26,M.D.H.A.,T4 Urban Community Center (T4 CC),"[""118"",""008"",""125"",""129"",""072""]",707,"M.D.H.A., applicant",15,Staff recommends approval of the Substitute Ordinance. The Donelson Transit-Oriented Redevelopment District is in line with the policy; it will assist in implementing the Downtown Donelson UDO; and it will help achieve critical planning goals for the community and the City.,Donelson Transit-Oriented Redevelopment Plan,144.15,0,0,"along Lebanon Pike, from Park Drive to Stewarts Ferry Pike (144.15 acres)","[""Lebanon Pike"",""Park Drive"",""Stewarts Ferry Pike""]"
East Nashville Community Plan,Consistent with T4 NE policy; allows for increased density and maintains character along Montgomery Avenue.,S. Davis,Approve,Buggs,"[""RM15-A""]","[""T4 NE""]","[""SP-R""]","[""069""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/190228sr.pdf_item_17.pdf,zone change,5,Zone Change 2018Z-127PR-001_2019-02-28,2019-02-28,"SN Development, LLC.",T4 Urban Neighborhood Evolving (T4 NE),"[""008""]",2400,"SN Development, LLC., applicant; Jordan and Sloan Allison, owners.",5,Approve.,Zone Change 2018Z-127PR-001,0.2,3,2,southwest corner of Douglas Avenue and Montgomery Avenue,"[""1218 Montgomery Avenue""]"
Germantown Historic Preservation District Overlay and Phillips - Jackson Street Redevelopment District Overlay,Application proposes a zone change for the area covered in the Germantown Historic Preservation District Overlay and the Phillips - Jackson Street Redevelopment District Overlay.,O'Connell,Defer,Gentry,"[""MUN-NS"",""MUN-A-NS"",""MUL-A-NS"",""MUG-NS"",""OR20-NS"",""CS-NS"",""CF-NS""]","[""NS""]","[""MUN"",""MUN-A"",""MUL-A"",""MUG"",""OR20"",""CS"",""CF""]","[""138""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/MPC-211209sr.pdf_item_13.pdf,zone change,1,Zone Change 2020Z-119PR-001_2021-12-09,2021-12-09,"Councilmember Freddie O'Connell, applicant; various property owners",No Short Term Rentals,"[""025"",""026"",""101"",""146""]",2401,"Councilmember Freddie O'Connell, applicant; various property owners",19,"Staff recommends deferral to the January 13, 2022, Planning Commission meeting at the request of the applicant.",Zone Change 2020Z-119PR-001,68.61,,,"located between Rosa L. Parks Boulevard and 2nd Avenue North, from Hume Street, south to Jefferson Street, and located within the Germantown Historic Preservation District Overlay and the Phillips - Jackson Street Redevelopment District Overlay (68.61 acres)","[""Rosa L. Parks Boulevard"",""2nd Avenue North"",""Hume Street"",""Jefferson Street""]"
South Nashville Community Plan,"The proposed MUL-A zoning district would allow moderate intensity residential, retail, restaurant, and office uses.",Sledge,Approve,Pinkston,"[""MUL-A""]","[""T4 MU""]","[""IWD""]","[""082-07""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/190523sr.pdf_item_29.pdf,zone change,7,Project No. Zone Change 2019Z-087PR-001_2019-05-23,2019-05-23,"Openworks, LLC., applicant; Pencil and Paper Development, LLC., owner",T4 Urban Mixed Use Neighborhood (T4 MU),"[""396""]",1379,"Openworks, LLC., applicant; Pencil and Paper Development, LLC., owner",17,Staff recommends approval.,Project No. Zone Change 2019Z-087PR-001,0.83,19,0,275 feet north of Seminole Avenue,"[""2214 Dunn Avenue"",""2216 Dunn Avenue"",""2218 Dunn Avenue"",""2220 Dunn Avenue""]"
,The text amendment addresses setbacks and building orientation for residential corner lots.,"[""Courtney Johnston"",""Angie Henderson""]",Conditional,,,,"[""BL2023-1691"",""R20"",""RS20"",""R30"",""RS30"",""R40"",""RS40"",""R80"",""RS80""]",,https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/27AprilStaffReport.pdf_item_18.pdf,text amendment,,Residential Corner Lot Orientation and Setbacks_2023-04-27,2023-04-27,Councilmember Courtney Johnston and Councilmember Angie Henderson,,,2257,Councilmember Courtney Johnston and Councilmember Angie Henderson,,Staff recommends disapproval of the ordinance as amended and recommends approval of a substitute.,Residential Corner Lot Orientation and Setbacks,,,,Countywide,
DONELSON-HERMITAGE-OLD HICKORY COMMUNITY PLAN,"The rezoning request aims to change the zoning from RS10 to RM40 for properties at Lebanon Pike and Blue Hills Drive, enhancing housing choice and complying with T4 Urban Residential Corridor policy.",Syracuse,Approve,Shepherd,"[""RM40""]","[""T4 RC""]","[""RS10""]","[""060""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/180823sr.pdf_item_36.pdf,zone change,4,Not Specified_2018-08-23,2018-08-23,"Dale and Associates, applicant; BNA Investments, LLC, James Deatrick, Daryl Spicer, Marilee and Gary Dye",T4 Urban Residential Corridor (T4 RC),"[""051""]",883,"Dale and Associates, applicant; BNA Investments, LLC, James Deatrick, Daryl Spicer, Marilee and Gary Dye",15,Staff recommends approval,Not Specified,3.58,143,15,"Southeast corner of Lebanon Pike and Briley Parkway, 3.58 acres","[""2303 Lebanon Pike"",""Lebanon Pike"",""100 Blue Hills Drive""]"
South Nashville Community Plan,The application proposes to rezone the property from RS5 to R6-A for increased residential density.,Welsch,Approve,Player,"[""R6-A""]","[""T4 NM""]","[""RS5""]","[""119-01""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/050924StaffReport.pdf_item_17.pdf,zone change,7,2024Z-048PR-001_2024-05-09,2024-05-09,David Maxwell,T4 Urban Neighborhood Maintenance (T4 NM),"[""481""]",128,David Maxwell,16,Staff recommends approval.,2024Z-048PR-001,0.17,2,1,"50 feet north of Peachtree Street, 0.17 acres","[""2320 Foster Avenue"",""Peachtree Street""]"
,Proposal is to rezone from R10 to SP-MR to permit a multi-family residential development with 300 units on 31.58 acres.,Toombs,Defer,Gentry,"[""SP-MR""]",,"[""R10""]","[""070-09""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/092321_Staff_Report.pdf_item_6.pdf,preliminary sp,1,Curtis Property SP_2021-09-23,2021-09-23,"ESP Associates, Inc.",,"[""092"",""093"",""094"",""095"",""096"",""097"",""098"",""099"",""100"",""101"",""102"",""103"",""104"",""105"",""106"",""167""]",411,"ESP Associates, Inc., applicant; Jerry and Curtis Partners, LLC, owners.",2,"Staff recommends deferral to the October 14, 2021, Planning Commission meeting.",Curtis Property SP,31.58,300,,"properties located at Curtis Street (unnumbered) and Lincoln Avenue (unnumbered), approximately 800 feet northeast of Clarksville Pike (31.58 acres)","[""Curtis Street"",""Lincoln Avenue""]"
East Nashville Community Plan,The application requests to rezone from RS5 to R6-A for a single-family dwelling at 832 Lischey Avenue.,S. Davis,Approve,Buggs,"[""R6-A""]","[""T4 NE""]","[""RS5""]",,https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/190509sr.pdf_item_47.pdf,zone change,5,2019Z-067R-001_2019-05-09,2019-05-09,Luke Searcy,Urban Neighborhood Evolving (T4 NE),,1344,"Luke Searcy, applicant; Roger and Gloria Evans, owners",5,Staff recommends approval.,2019Z-067R-001,0.4,6,3,approximately 95 feet north of Wilburn Street (0.4 acres),"[""832 Lischey Avenue"",""Wilburn Street""]"
Parkwood - Union Hill Community Plan,The application intends to rezone from SP-MU to SP-R for a 240 multi-family residential project.,VanReece,Conditional,Masters,"[""SP-R""]","[""T3 NE""]","[""SP-MU""]","[""2013SP-038-001""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/092321_Staff_Report.pdf_item_27.pdf,preliminary sp,3,Skyline Ridge_2021-09-23,2021-09-23,Hawkins Partners,T3 Suburban Neighborhood Evolving (T3 NE),"[""038""]",395,"Hawkins Partners, applicant; Margaret A. & Ronald C. Toski, et al, owner(s).",8,Approve with conditions and disapprove without all conditions,Skyline Ridge,24.97,240,,"Skyline Ridge Drive approximately 415 feet east of Dickerson Pike, 24.97 acres","[""Skyline Ridge Drive""]"
Neighborhood Landmark Overlay District,"The amendment expands the bed and breakfast units to a total of 17 and permits the construction of an event center and additional parking, maintaining the historic nature of the property.",Syracuse,Conditional,Shepherd,"[""NLOD""]","[""NLOD""]","[""RS20"",""R8""]","[""069-12""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/200625sr.pdf_item_12.pdf,major plan amendment,4,Belair Mansion (Amendment)_2020-06-25,2020-06-25,S+H Group,Neighborhood Landmark Overlay District,"[""001"",""002"",""003 in map 2250 Lebanon Pike""]",1948,"S+H Group, applicant; Lewis and Connie James, owner",15,Staff recommends approval with above conditions.,Belair Mansion (Amendment),5.92,17,15,"North side of Lebanon Pike, east of Briley Parkway, 5.92 acres","[""2250 Lebanon Pike""]"
North Nashville Community Plan,The request is to rezone from Commercial Neighborhood (CN) to Multi-Family Residential-Alternative (RM20-A) to permit multi-family residential uses in a lower intensity.,Taylor,Conditional,Gentry,"[""RM20-A""]","[""T4 CM""]","[""CN""]",,https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/200409sr.pdf_item_49.pdf,zone change,1,Zone Change 2020Z-053PR-001_2020-04-09,2020-04-09,Adam Myers,T4 Urban Mixed Use Corridor,,1807,"Adam Myers, applicant; Mohab Khamis, owner",21,Staff recommends approval with a condition as the request is consistent with the T4 Urban Mixed-Use Corridor policy in this location.,Zone Change 2020Z-053PR-001,0.19,4,0,"Property located at 2014 24th Avenue North, approximately 240 feet south of Clarksville Pike (0.19 acres)","[""2014 24th Avenue North""]"
Southeast Community Plan,Request to rezone from R15 to RM6 for increased residential density.,Swope,Disapprove,Elrod,"[""RM6""]","[""T3 NE"",""CO""]","[""R15""]","[""073""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/200723sr.pdf_item_36.pdf,Zone Change,2,Zone Change 2020Z-071PR-001_2020-07-23,2020-07-23,"Dale and Associates, applicant; Zebid Tesfaye, owner.","T3 Suburban Neighborhood Evolving (T3 NE), Conservation (CO)","[""210""]",2002,Dale and Associates,4,Staff recommends disapproval of RM6.,Zone Change 2020Z-071PR-001,2.54,15,8,"South side of Old Hickory Boulevard, approximately 960 feet southwest of Woodlands Avenue. (2.54 acres)","[""Old Hickory Boulevard""]"
North Nashville Community Plan,Approves with conditions to rezone from RS5 to SP-R for a 0.17-acre property at 23rd Ave N to permit one attached two-family residential unit.,Taylor,Conditional,Gentry,"[""SP-R""]","[""T4 NM""]","[""RS5""]","[""11500""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/MPC-220428sr.pdf_item_16.pdf,zone change,1,1526 23rd Avenue N SP_2022-04-28,2022-04-28,Dale & Associates,T4 Urban Neighborhood Maintenance,"[""048"",""155""]",2618,"Dale & Associates, applicant; Michael Rauchet, owner",21,Approve with conditions and disapprove without all conditions.,1526 23rd Avenue N SP,0.17,2,1,"East side of 23rd Avenue N, south of Formosa Street (0.17 acres)","[""1526 23rd Ave N""]"
,Request to rezone several properties within Germantown Historic Preservation District Overlay and Phillips-Jackson Street Redevelopment District Overlay.,O'Connell,Defer,Gentry,"[""MUNNS"",""MUNA-NS"",""MULA-NS"",""MUG-NS"",""OR20-NS"",""CS-NS"",""CF-NS""]",,"[""MUN"",""MUNA"",""MULA"",""MUG"",""OR20"",""CS"",""CF""]","[""075-05""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/092321_Staff_Report.pdf_item_14.pdf,zone change,1,Zone Change 2020Z-119PR-001_2021-09-23,2021-09-23,Councilmember Freddie O'Connell,,"[""044"",""045""]",381,"Councilmember Freddie O'Connell, applicant; various property owners",19,"Staff recommends deferral to the October 28, 2021, Planning Commission meeting.",Zone Change 2020Z-119PR-001,68.61,,,"various properties located between Rosa L. Parks Boulevard and 2nd Avenue North, from Hume Street, south to Jefferson Street, and located within the Germantown Historic Preservation District Overlay and the Phillips-Jackson Street Redevelopment District Overlay (68.61 acres).","[""Rosa L. Parks Boulevard"",""2nd Avenue North"",""Hume Street"",""Jefferson Street""]"
,Approval with conditions including a variance to the maximum length of a permanent dead-end and disapproval without all conditions.,Hagar,Conditional,Shepherd,"[""R6""]","[""T3 NE"",""CO""]","[""R10""]","[""022""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/200625sr.pdf_item_25.pdf,concept plan,4,Tulip Grove Subdivision_2020-06-25,2020-06-25,"Civil and Environmental Engineering Services LLC, applicant; Alissi Contruction, owner",Suburban Neighborhood Evolving (T3 NE) and Conservation (CO) policies,"[""various""]",1962,"Civil and Environmental Engineering Services LLC, applicant; Alissi Contruction, owner",11,Approve with conditions including a variance to the maximum length of a permanent dead-end and disapprove without all conditions.,Tulip Grove Subdivision,10.26,23,28,"Terminus of Debbie Drive, zoned One and Two-Family Residential (R10) (10.26 acres)","[""Tulip Grove Road"",""Debbie Drive""]"
,Request to rezone from One and Two-family Residential (R10) to Office/Residential (OR20) zoning.,Johnson,Defer,Hunter,"[""OR20""]",,"[""R10""]",,https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/180111sr.pdf_item_10.pdf,zone change,6,355 Bell Road_2018-01-11,2018-01-11,"The Income Tax Center, Inc.",,,541,"The Income Tax Center, Inc.",29,Staff recommends an indefinite deferral at the request of the applicant.,355 Bell Road,1.22,,,"Property located at 355 Bell Road, approximately 160 feet north of Rural Hill Road (1.22 acres).","[""355 Bell Road""]"
Not specified,Approval to create three residential lots with frontage on Watts Lane and meeting the standards of the subdivision regulations.,Roberts,Conditional,Frogge,"[""R6""]","[""T3 NE""]","[""R6""]","[""103-01""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/200827sr.pdf_item_23.pdf,final plat,9,Resub Parts of Tract #4 on the Map Showing the Division of Jackson Place on Charlotte Pike_2020-08-27,2020-08-27,Clint Elliott Survey,Suburban Neighborhood Evolving (T3 NE) policy,"[""176"",""177"",""178""]",2029,"Clint Elliott Survey, applicant; Robert L. & Gertrude Abott, owners",20,Staff recommends approval with conditions.,Resub Parts of Tract #4 on the Map Showing the Division of Jackson Place on Charlotte Pike,0.55,3,1,"On the south side of Watts Lane between Charlotte Pike and Neighborly Avenue within the White Bridge Hillwood residential area, approximately 275 feet west of Neighborly Avenue.","[""Watts Lane"",""Neighborly Avenue"",""Charlotte Pike""]"
Bordeaux - Whites Creek - Haynes Trinity Community Plan,"A preliminary SP to permit up to 16 multi-family residential units. The SP site is on the south side of W. Trinity Lane and includes two new public streets, Gail Lane and a new east-west road.",Hastings,Conditional,Gentry,"[""SP-R""]","[""T4 RC""]","[""R8""]","[""070""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/180628sr.pdf_item_2.pdf,preliminary sp,1,City View Estates SP_2018-06-28,2018-06-28,"Civil Design Consultants, LLC, owner",T4 Urban Residential Corridor (T4 RC),"[""042"",""043""]",782,"Civil Design Consultants, LLC, applicant; Progressive Development, LLC, owner.",2,Approve with conditions and disapprove without conditions.,City View Estates SP,1.3,16,8,"The site is located on the south side of W. Trinity Lane, east of Old Buena Vista Road/Youngs Lane, and west of Roy Street. The site currently contains a residential structure which is not indicated to be retained.","[""926 West Trinity Lane"",""West Trinity Lane"",""Old Buena Vista Road"",""Youngs Lane""]"
Downtown Code,"Modification of overall height standards of the DTC, Gulch South Subdistrict, to allow thirty stories where ten stories is permitted by right.",O'Connell,Conditional,Buggs,"[""DTC""]",,"[""DTC""]","[""092-16""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/MPC-220526sr.pdf_item_13.pdf,DTC Overall Height Modification,5,Paseo Tower 2_2022-05-26,2022-05-26,"ESa, applicant; SomeraRoad Inc., owner.",,"[""206""]",2661,ESa,19,Approve with conditions.,Paseo Tower 2,0.85,112,,"Property located at 0 8th Avenue South and 701 7th Avenue South, within the Gulch South Subdistrict of the DTC","[""8th Avenue South"",""701 7th Avenue South""]"
North Nashville Community Plan,The proposed zoning district permits commercial uses which are not supported by the residential policy.,Taylor,Disapprove,Gentry,"[""CS""]","[""T4 NM""]","[""R6""]",,https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/200723sr.pdf_item_39.pdf,zone change,1,Zone Change 2020Z-079PR-001_2020-07-23,2020-07-23,Fulmer Lucas,T4 Urban Neighborhood Maintenance (T4 NM),,2005,"Fulmer Lucas, applicant; Clay Street Commons LLC, owner",21,Staff recommends disapproval. The proposed zoning district permits commercial uses which are not supported by the residential policy.,Zone Change 2020Z-079PR-001,0.19,0,2,"1924 9th Avenue North, approximately 90 feet south of Clay Street (0.19 acres)","[""1924 9th Avenue North""]"
,Request for final site plan approval for Nashville Highlands SP to permit 323 multi-family residential units on 42.68 acres.,Johnson,Conditional,Frogge,"[""SP-R""]",,"[""SP-R""]","[""091-10""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/190822sr.pdf_item_11.pdf,final plat,9,Nashville Highlands SP_2019-08-22,2019-08-22,"Kimley Horn and Associates; Nashville Highlands, LLC; Reserve Service Assoc, Inc.",,"[""091-10""]",1498,Kimley Horn and Associates,23,Staff recommends approval with conditions.,Nashville Highlands SP,42.68,323,0,"350 Old Hickory Boulevard (unnumbered), east of Woodbury Falls Drive","[""Old Hickory Boulevard""]"
East Nashville Community Plan,"Proposes to amend a Specific Plan for additional restaurant use and minor layout changes, including a pool, and removal of some approved parking spaces. Meets reduced Urban Zoning Overlay requirements.",Davis,Conditional,Buggs,"[""SP-MU""]","[""T4 NC""]","[""SP-MU""]","[""072-13""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/190718sr.pdf_item_2.pdf,preliminary SP,5,McGavock House SP (Amendment)_2019-07-18,2019-07-18,"Tune, Entrekin & White",T4 Urban Neighborhood Center (T4 NC) with a Supplemental Policy for the East Nashville Plan,"[""001"",""002"",""003"",""004"",""005"",""006"",""007"",""008"",""009""]",1482,"Tune, Entrekin & White, applicant; various property owners.",5,Approve with conditions and disapprove without all conditions.,McGavock House SP (Amendment),3.39,20,20,northeast and northwest corners of Cleveland Street and Meridian Street,"[""206 Vaughn Street"",""900 Meridian Street"",""901 Meridian Street"",""902 Meridian Street"",""903 Meridian Street"",""908 Meridian Street"",""219 Cleveland Street"",""307 Cleveland Street"",""309 Cleveland Street""]"
Southeast Nashville Community Plan,"The site, located on Bell Road, involves changing zoning from AR2a to CS which is not consistent with the T3 Neighborhood Evolving policy.",Bedne,Disapprove,Brannon,"[""CS""]","[""T3 NE""]","[""AR2a""]","[""091-06"",""091-06-0-L""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/181011sr.pdf_item_5.pdf,zone change,2,Metro Planning Commission Meeting of 10/11/18_2018-10-11,2018-10-11,"Williams Properties, LLC",T3 Suburban Neighborhood Evolving (T3 NE),"[""249"",""900""]",956,"Williams Properties, LLC, applicant; Peggy Maxwell-Coleman and Henry Lee Jordan, owners",31,Staff recommends disapproval as the request is not consistent with the T3 Neighborhood Evolving policy of the Southeast Nashville Community Plan.,Metro Planning Commission Meeting of 10/11/18,6.72,0,6,820 feet East of Brook View Estate Drive along Bell Road,"[""1488 Bell Road"",""1492 Bell Road""]"
East Nashville Community Plan,Request to cancel a portion of a Planned Unit Development.,Parker,Approve,Buggs,,"[""T4 NM""]","[""RS5""]","[""070-12""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/200924sr.pdf_item_17.pdf,Preliminary SP,5,Sam Levy Homes PUD (Cancellation)_2020-09-24,2020-09-24,S+H Group,Urban Neighborhood Maintenance,"[""015""]",2094,S+H Group,5,Staff recommends approval.,Sam Levy Homes PUD (Cancellation),0.09,,1,"approximately 175 feet east of Neill Avenue (0.09 acres), zoned Residential Single Family (RS5)","[""Marina Street""]"
Southeast Nashville Community Plan,"The staff recommends approval of the CDO over approximately 800 acres along Nolensville Pike to implement improvements to aesthetics and pedestrian facilities, consistent with NashvilleNext goals.",Swope,Approve,Elrod,"[""CDO""]",,"[""AG"",""R6"",""R10"",""R15"",""RM9"",""RM15"",""RM20"",""RS10"",""SCN"",""SCC"",""SCR"",""SP"",""PUD""]","[""105-16""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/190425sr.pdf_item_27.pdf,zone change,2,Corridor Design Overlay_2019-04-25,2019-04-25,"Councilmembers Davette Blalock, Jason Potts, Robert Swope, Fabian Bedne and Jeremy Elrod","Conservation, Urban Neighborhood Center, Urban Community Center, Suburban Neighborhood Evolving, Suburban Neighborhood Maintenance, Suburban Community Center, Suburban Mixed Use Corridor, Suburban Residential Corridor, Civic","[""236""]",1290,"Councilmembers Davette Blalock, Jason Potts, Robert Swope, Fabian Bedne and Jeremy Elrod, applicants; various owners.",4,Staff recommends approval of the proposed Corridor Design Overlay (CDO) as it is consistent with the goals of the land use policies.,Corridor Design Overlay,812.34,,,"Nolensville Pike, southward from Zoo Road to the south side of Burkitt Road","[""Nolensville Pike"",""Zoo Road"",""Burkitt Road""]"
,Request for final plat approval to create 79 lots on a 19.02-acre site located at the terminus of Westcott Lane.,Rutherford,Conditional,Elrod,"[""SP""]",,"[""SP""]","[""2022S-276-001""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/072723StaffReport.pdf_item_10.pdf,final plat,2,Burkitt Ridge Phase 6_2023-07-27,2023-07-27,"Anderson, Delk, Epps & Associates",,"[""001""]",331,"Anderson, Delk, Epps & Associates, applicant; Regent Homes, LLC, owner",31,Staff recommends approval with conditions.,Burkitt Ridge Phase 6,19.02,79,,"north of Ben Hill Drive at the terminus of Westcott Lane, 19.02 acres","[""Burkitt Road"",""Westcott Lane""]"
,"Concept plan approval to create ten lots at 721 Madison Square, zoned Mixed-Use General-Alternative (MUG-A).",Hancock,Defer,Masters,,,"[""MUG-A""]","[""061-14""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/041124StaffReport.pdf_item_3.pdf,concept plan,3,Madison Station_2024-04-11,2024-04-11,"BCA Civil, applicant; 721 Madison Square LLC, owner",,"[""139"",""140"",""141"",""142""]",112,"BCA Civil; 721 Madison Square LLC, owner",9,"Staff recommends deferral to the April 25, 2024, Planning Commission meeting.",Madison Station,31.72,10,,"approximately 135 feet south of Neely’s Bend Road, 31.72 acres","[""721 Madison Square"",""Neely’s Bend Road""]"
,Rezoning from Agricultural/Residential (AR2a) to Specific Plan (SP) to permit a mixed-use development.,Lee,Defer,Bush,"[""SP""]",,"[""AR2a""]","[""060-15""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/MPC-211209sr.pdf_item_10.pdf,preliminary sp,6,Oliveri Mixed-Use SP_2021-12-09,2021-12-09,"Anderson, Delk, Epps and Associates; Oliveri LLC, owner",,"[""023"",""042"",""043"",""044"",""045"",""047"",""048""]",2398,"Anderson, Delk, Epps and Associates",33,"Staff recommends deferral to the January 13, 2022, Planning Commission Meeting.",Oliveri Mixed-Use SP,4.09,,,approximately 350 feet southeast of Parks Retreat Drive within the Murfreesboro Pike Urban Design Overlay (4.09 acres),"[""4154 Murfreesboro Pike""]"
,Final plat approval to create three lots at 2420 Stivers Street.,Hastings,Defer,Gentry,,,"[""R10""]","[""121""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/190411sr.pdf_item_9.pdf,final plat,1,Rebsudivision of Part of Lot 10 on the Plan of Alpine Terrace Subdivision_2019-04-11,2019-04-11,Clint Elliott Surveying,,"[""062"",""062.01""]",3724,"Clint Elliott Surveying, applicant; C & H Properties, LLC., owner.",2,"Staff recommends deferral to the April 25, 2019, Planning Commission meeting at the request of the applicant.",Rebsudivision of Part of Lot 10 on the Plan of Alpine Terrace Subdivision,0.87,0,0,"At 2420 Stivers Street, at the eastern terminus of Stivers Street","[""2420 Stivers Street""]"
,Final plat approval to create two lots.,Webb,Defer,Masters,"[""RS30""]",,"[""RS30""]","[""126-00""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/052324StaffReport.pdf_item_11.pdf,final plat,3,Michael Armistead Property_2024-05-23,2024-05-23,"Bruce Rainey & Associates, Michael S. Armistead, owners.",,"[""63"",""64"",""564""]",140,Bruce Rainey & Associates,10,"Staff recommends deferral to the June 27, 2024, Planning Commission Meeting.",Michael Armistead Property,1.76,2,0,"approximately 200 feet southwest of Springfield Highway, zoned Single-Family Residential (RS30) (1.76 acres)","[""Old Springfield Pike"",""Springfield Highway""]"
,An ordinance declaring a 120-day moratorium upon the issuance of building and grading permits for multi-family developments on property within portions of the Antioch area.,Vercher,Defer,Bush,,,,"[""092-16""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/201112sr.pdf_item_6.pdf,SP Amendment,6,120-Day Multi-family Permit Moratorium in the Antioch Area_2020-11-12,2020-11-12,Councilmember Tanaka Vercher,,"[""439""]",2177,Councilmember Tanaka Vercher,28,"Staff recommends deferral to the January 21, 2021, Planning Commission meeting to align with Council schedule.",120-Day Multi-family Permit Moratorium in the Antioch Area,,,,portions of the Antioch area,
,The preliminary SP requests to permit a mixed-use development on Charlotte Pike.,Murphy,Defer,Buggs,"[""SP""]",,"[""IR""]",,https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/060823StaffReport.pdf_item_32.pdf,preliminary SP,5,Charlotte Pike Mixed Use SP_2023-06-08,2023-06-08,"Thomas & Hutton, applicant; Mohammed and Zary Rahimi, 3905 Alabama Ave LLC, and The Ragan Family Revocable Living Trust, owners.",,,227,Thomas & Hutton,24,"Staff recommends deferral to the June 22, 2023, Planning Commission meeting.",Charlotte Pike Mixed Use SP,2.7,336,,"Northwest corner of Charlotte Avenue and 39th Avenue North, 2.7 acres","[""3900 Charlotte Avenue"",""3906 Charlotte Avenue"",""3914 Charlotte Avenue"",""3905 Alabama Avenue"",""3907 Alabama Avenue"",""3909 Alabama Avenue"",""3911 Alabama Avenue"",""3913 Alabama Avenue"",""3915 Alabama Avenue"",""411 39th Avenue North"",""406 40th Avenue North""]"
Antioch - Priest Lake Community Plan,Request to rezone from AR2a and R15 to RS10 for redevelopment into suburban residential neighborhoods with higher densities and greater housing variety.,Lee,Conditional,Bush,"[""RS10""]","[""T3 NE""]","[""AR2a"",""R15""]","[""165""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/MPC-220324sr.pdf_item_24.pdf,zone change,6,South Shore (Cancelation)_2022-03-24,2022-03-24,"Dale & Associates, applicant; Pardue Family Hamilton Church Road Partners, owners",Suburban Neighborhood Evolving (T3 NE),"[""011""]",2599,"Dale & Associates, applicant; Pardue Family Hamilton Church Road Partners, owners",33,Staff recommends approval subject to the approval of the associated zone change. Disapprove if the associated zone change is not approved.,South Shore (Cancelation),37.12,137,224,"335 feet east of S Shore Drive, zoned AR2a and R15 (37.12 acres), and partially located within a Planned Unit Development (PUD) Overlay.","[""3807 Hamilton Church Road"",""3817 Hamilton Church Road"",""Hamilton Church Road""]"
